winner,total_rocks,total_turn,ai_1_reflection,ai_2_reflection,ai_1_warning,ai_2_warning,player_1_capture,player_2_capture,value_weight,value_func_player,value_func_opponent
2,58,29,35256.56580924988,3346.782445907593,25,1,2,8,0.0,[3.0, 2.7, 1.3, 3.2, 4.4],[-1.8, -1.4, -2.4, -0.7, -1.3]
1,81,40,48769.26016807556,10548.490285873413,27,7,10,8,0.9,[3.4, 0.9, 3.5, 1.4, 0.8],[-1.7, -4.0, -1.2, -2.5, -2.5]
2,18,9,7426.749706268311,489.1834259033203,7,0,0,2,0.0,[4.1, 2.5, 0.5, 0.1, 1.0],[-3.3, -0.7, -0.2, -3.0, -3.9]
1,47,23,16622.382402420044,2834.5649242401123,14,2,2,4,0.8,[1.4, 0.8, 2.2, 4.6, 2.9],[-2.5, -4.8, -3.9, -1.1, -2.3]
2,58,29,24434.397220611572,3387.9618644714355,15,0,4,4,0.4,[0.9, 3.3, 1.7, 4.8, 2.5],[-4.6, -3.1, -1.5, -2.0, -2.6]
2,30,15,13142.02332496643,802.2189140319824,10,0,0,2,0.5,[3.9, 3.0, 0.8, 4.6, 3.3],[-4.1, -3.7, -2.8, -3.6, -3.0]
1,39,19,15666.064023971558,1694.8251724243164,10,0,2,2,0.5,[0.2, 3.0, 0.8, 0.6, 0.5],[-4.8, -3.3, -1.0, -1.8, -2.7]
1,41,20,14946.66838645935,1781.8357944488525,13,0,0,0,0.2,[4.7, 4.4, 1.3, 2.3, 4.6],[-2.8, -2.2, -4.8, -3.6, -1.0]
1,23,11,3002.2711753845215,1095.9644317626953,3,0,0,0,0.1,[4.6, 1.7, 4.6, 2.8, 4.6],[-0.6, -1.5, -0.5, -4.2, -2.0]
1,17,8,2683.734655380249,518.7299251556396,2,0,0,0,0.6,[4.9, 1.6, 4.4, 3.3, 1.9],[-4.6, -2.2, -3.5, -2.7, -3.3]
1,57,28,19213.7930393219,4120.005130767822,14,1,6,2,1.0,[0.7, 5.0, 3.3, 2.4, 1.7],[-2.3, -0.8, -2.2, -4.5, -0.8]
2,74,37,43962.75806427002,4075.8719444274902,25,2,4,8,0.4,[1.2, 4.3, 1.8, 3.1, 4.3],[-2.9, -4.6, -3.5, -4.0, -4.1]
1,17,8,2971.2624549865723,473.956823348999,3,0,0,0,0.9,[1.7, 1.2, 0.4, 2.1, 1.4],[-2.1, -1.9, -4.7, -2.7, -4.7]
2,42,21,18578.136205673218,1902.850866317749,14,0,2,6,1.0,[1.3, 3.0, 4.2, 4.9, 0.3],[-3.6, -4.1, -3.5, -4.4, -1.0]
2,18,9,7387.917995452881,492.16628074645996,7,0,0,2,0.7,[4.4, 4.6, 1.1, 3.2, 1.8],[-3.5, -3.9, -0.5, -4.4, -4.8]
